time	V(n004)
2.023305896574555e-02	2.474648e+00
2.023381388888896e-02	2.475565e+00
2.023439447710863e-02	2.476271e+00
2.023493924894468e-02	2.476933e+00
2.023549716975702e-02	2.477613e+00
2.023622986579872e-02	2.478507e+00
2.023753853902498e-02	2.480106e+00
2.023877295849283e-02	2.481618e+00
2.024031952367104e-02	2.483516e+00
2.024212800164414e-02	2.485742e+00
2.024422225784128e-02	2.488329e+00
2.024676822166082e-02	2.491486e+00
2.024996338029092e-02	2.495467e+00
2.025404238578940e-02	2.500581e+00
2.025989405496615e-02	2.507970e+00
2.026527851859165e-02	2.514820e+00
2.026958239696983e-02	2.520333e+00
2.027327276957575e-02	2.525090e+00
2.027713186847600e-02	2.530096e+00
2.028435390552145e-02	2.539540e+00
2.029403644835018e-02	2.552343e+00
2.030883534842481e-02	2.572239e+00
2.033640725053444e-02	2.610210e+00
2.038907579845074e-02	2.684761e+00
2.049441289428333e-02	2.834379e+00
2.062987816045217e-02	3.014872e+00
2.075992658978088e-02	3.163163e+00
2.084248506345493e-02	3.236144e+00
2.090011485313254e-02	3.272966e+00
2.094233996987779e-02	3.291799e+00
2.097881699475826e-02	3.302284e+00
2.101372411148409e-02	3.307249e+00
2.105347128954854e-02	3.306678e+00
2.110685598434683e-02	3.295189e+00
2.119333123955164e-02	3.261172e+00
2.120755896533198e-02	3.253300e+00
2.123601441689265e-02	3.234055e+00
2.125204580491027e-02	3.222254e+00
2.126895498036234e-02	3.208889e+00
2.127809199169065e-02	3.201333e+00
2.128527554566429e-02	3.195200e+00
2.128892221799061e-02	3.192027e+00
2.129223341584186e-02	3.189104e+00
2.129593444460105e-02	3.185791e+00
2.131365870443579e-02	3.169353e+00
2.133218680449021e-02	3.151127e+00
2.136821110024326e-02	3.112935e+00
2.144025969174936e-02	3.028765e+00
2.156817532563804e-02	2.868233e+00
2.172284593452815e-02	2.672618e+00
2.179281462740824e-02	2.590758e+00
2.185917479176963e-02	2.522726e+00
2.190739784247442e-02	2.480475e+00
2.196034449946718e-02	2.444282e+00
2.204977009990165e-02	2.400519e+00
2.209356501903926e-02	2.387930e+00
2.213363138926705e-02	2.384711e+00
2.218370578149665e-02	2.389404e+00
2.223325073705457e-02	2.404297e+00
2.231361188832611e-02	2.445492e+00
2.236495847190051e-02	2.480953e+00
2.238678533136059e-02	2.499261e+00
2.241186681817021e-02	2.522499e+00
2.242631745910577e-02	2.536678e+00
2.243978115836550e-02	2.550512e+00
2.245276123634556e-02	2.564261e+00
2.245886267373001e-02	2.570874e+00
2.246404997980979e-02	2.576595e+00
2.246929004054577e-02	2.582443e+00
2.247414458522022e-02	2.587923e+00
2.247936548031120e-02	2.593882e+00
2.248515217310369e-02	2.600561e+00
2.249094838139212e-02	2.607329e+00
2.249745888670689e-02	2.615025e+00
2.250484087908583e-02	2.623866e+00
2.251352875069424e-02	2.634427e+00
2.252446559109703e-02	2.647954e+00
2.253895262097989e-02	2.666254e+00
2.255966714039245e-02	2.693134e+00
2.259200248337149e-02	2.736566e+00
2.264800326415914e-02	2.814691e+00
2.275803497073016e-02	2.967367e+00
2.297809838387221e-02	3.248923e+00
2.307933197198451e-02	3.353681e+00
2.314733462476638e-02	3.404218e+00
2.319620681947610e-02	3.430052e+00
2.323254527486231e-02	3.442869e+00
2.327277262743782e-02	3.450487e+00
2.332110566806455e-02	3.451592e+00
2.337130014754375e-02	3.442344e+00
2.345269781218922e-02	3.412564e+00
2.346892371858347e-02	3.404040e+00
2.350137553137195e-02	3.382823e+00
2.352131185434547e-02	3.368400e+00
2.353965774777281e-02	3.353968e+00
2.355021636519919e-02	3.345219e+00
2.355754753764722e-02	3.338932e+00
2.356091123769579e-02	3.335988e+00
2.356444962483007e-02	3.332847e+00
2.356800002818242e-02	3.329653e+00
2.357510083488712e-02	3.323152e+00
